Maker,Year,Colour,Abuja,Ibadan,Lagos,Brand New,Foreign Used,Nigerian Used,Amount
37,2003,4,0,0,1,0,0,1,2.81
29,2008,18,1,0,0,0,1,0,4.5
53,2004,8,1,0,0,0,1,0,1.8
29,2018,2,1,0,0,0,1,0,67.5
29,2009,8,0,0,1,0,1,0,4.5
53,2003,9,1,0,0,0,0,1,2.2
53,2007,9,0,1,0,0,1,0,3.3
17,2013,17,1,0,0,0,0,1,4.2
53,2010,8,0,1,0,0,1,0,4.0
34,2005,8,1,0,0,0,1,0,2.5
53,2000,9,1,0,0,0,0,1,1.5
19,2007,9,1,0,0,0,0,1,1.69
34,2010,18,0,0,1,0,1,0,6.73
29,2011,9,0,0,1,0,1,0,9.5
29,2007,2,0,0,1,0,1,0,5.5
29,2008,17,0,0,1,0,1,0,4.5
29,2008,9,0,0,1,0,1,0,5.78
29,2013,18,0,0,1,0,1,0,9.7
14,2008,18,1,0,0,0,1,0,3.8
14,2012,2,0,0,1,0,1,0,8.44
0,2009,3,0,0,1,0,1,0,7.5
53,2005,18,0,0,1,0,1,0,4.45
53,2019,2,0,0,1,0,1,0,29.0
11,2014,2,0,0,1,0,0,1,11.25
53,2010,9,0,1,0,0,0,1,2.05
29,2018,8,0,0,1,0,1,0,21.5
17,2007,2,0,0,1,0,1,0,3.59
29,2007,4,0,0,1,0,1,0,5.4
53,2013,22,1,0,0,0,0,1,10.69
34,2016,4,1,0,0,0,1,0,11.9
29,2012,3,0,0,1,0,1,0,7.4
53,2013,22,0,0,1,0,1,0,8.68
53,2009,18,0,0,1,0,1,0,3.2
53,2013,17,0,0,1,0,1,0,8.5
53,2002,18,0,1,0,0,0,1,1.2
29,2004,2,1,0,0,0,0,1,7.31
53,2004,9,0,0,1,0,1,0,3.95
53,2008,10,0,0,1,0,1,0,6.0
29,2011,3,0,0,1,0,1,0,10.8
29,2008,22,1,0,0,0,0,1,3.5
29,2018,2,0,0,1,1,0,0,52.0
17,2004,17,0,1,0,0,1,0,2.48
53,2017,2,1,0,0,0,1,0,16.55
34,2016,2,1,0,0,0,1,0,45.0
53,2007,2,1,0,0,0,0,1,2.4
53,2007,2,0,0,1,0,1,0,3.9
29,2008,9,0,0,1,0,1,0,4.1
34,2021,22,1,0,0,1,0,0,195.0
53,2018,2,1,0,0,0,1,0,27.0
53,2020,10,1,0,0,1,0,0,27.0
53,2011,3,1,0,0,0,1,0,4.35
53,2005,18,0,1,0,0,0,1,1.69
28,2009,10,1,0,0,0,0,1,3.5
29,2008,18,0,1,0,0,1,0,5.6
53,2008,2,0,1,0,0,1,0,3.55
30,2013,18,1,0,0,0,1,0,9.9
53,2007,18,0,1,0,0,1,0,3.15
29,2011,18,0,0,1,0,1,0,8.7
53,2008,17,0,0,1,0,1,0,3.4
0,2008,22,0,0,1,0,1,0,3.95
53,2010,22,0,0,1,0,1,0,7.9
34,2010,2,0,0,1,0,1,0,8.0
29,2003,18,0,0,1,0,1,0,3.5
29,2016,9,0,0,1,0,1,0,10.2
53,2009,9,0,0,1,0,1,0,3.9
29,2011,18,0,0,1,0,1,0,10.5
29,2012,22,0,0,1,0,1,0,6.5
53,2011,18,0,0,1,0,1,0,4.39
53,2007,3,0,1,0,0,0,1,1.9
39,2004,23,1,0,0,0,0,1,1.4
53,2013,9,0,0,1,0,1,0,9.5
0,2012,2,0,0,1,0,1,0,6.0
53,2013,22,0,0,1,0,1,0,12.0
17,2020,9,1,0,0,0,1,0,13.9
53,2012,22,0,1,0,0,1,0,4.7
29,2010,9,0,1,0,0,1,0,9.1
53,2009,10,0,0,1,0,1,0,7.65
17,2010,2,0,0,1,0,0,1,2.25
53,2013,22,0,0,1,0,1,0,6.2
34,2016,2,1,0,0,0,1,0,40.0
34,2007,2,0,0,1,0,1,0,4.5
53,2004,22,1,0,0,0,0,1,2.3
39,2005,3,1,0,0,0,0,1,1.63
29,2018,22,0,0,1,0,1,0,27.0
53,2015,2,1,0,0,0,1,0,12.5
53,2008,18,0,0,1,0,1,0,3.2
53,2005,2,1,0,0,0,0,1,2.0
29,2010,2,0,0,1,0,1,0,10.69
53,2016,9,1,0,0,0,1,0,6.7
53,2008,18,1,0,0,0,0,1,2.2
53,2010,2,1,0,0,0,0,1,2.4
53,2009,9,0,0,1,0,1,0,3.4
17,2009,9,1,0,0,0,1,0,3.38
14,2013,3,0,1,0,0,0,1,9.56
19,2009,2,0,0,1,0,1,0,1.8
29,2021,2,1,0,0,1,0,0,87.5
29,2015,2,0,0,1,0,1,0,9.8
34,2008,18,0,0,1,0,1,0,4.25
53,2009,8,1,0,0,0,0,1,5.3
29,2008,17,0,0,1,0,1,0,5.25
3,2008,8,1,0,0,0,1,0,5.5
53,2011,9,1,0,0,0,1,0,6.7
53,2016,22,0,0,1,0,1,0,23.0
19,2015,9,1,0,0,0,0,1,2.7
29,2008,3,0,0,1,0,0,1,2.81
29,2020,22,0,0,1,0,1,0,35.5
29,2019,9,0,0,1,0,1,0,58.0
34,2021,2,0,0,1,1,0,0,66.5
34,2013,9,1,0,0,0,1,0,12.5
29,2012,8,0,0,1,0,1,0,10.8
53,2015,2,1,0,0,0,1,0,5.16
29,2005,18,1,0,0,0,1,0,6.0
53,2004,10,0,0,1,0,1,0,3.58
53,2014,2,0,0,1,0,0,1,4.5
29,2002,2,0,0,1,0,1,0,3.3
29,2008,9,1,0,0,0,0,1,3.5
53,2008,18,1,0,0,0,0,1,2.2
14,2011,2,0,0,1,0,0,1,2.59
29,2017,22,1,0,0,0,1,0,17.0
53,2018,18,0,0,1,0,1,0,14.5
34,2015,18,1,0,0,0,0,1,7.5
53,2014,2,1,0,0,0,0,1,16.31
53,2019,2,1,0,0,1,0,0,32.0
8,2008,9,0,0,1,0,1,0,1.15
53,2015,2,1,0,0,0,1,0,9.5
53,2007,10,0,0,1,0,1,0,3.8
53,2014,22,1,0,0,0,1,0,5.1
53,2013,18,1,0,0,0,1,0,5.5
53,2007,18,1,0,0,0,1,0,3.2
29,2007,2,0,0,1,0,0,1,3.25
29,2008,9,0,0,1,0,1,0,4.45
53,2018,9,1,0,0,0,1,0,13.2
53,2008,18,1,0,0,0,0,1,2.3
17,2012,2,1,0,0,0,1,0,3.4
29,2013,9,0,0,1,0,1,0,11.8
29,2010,2,0,0,1,0,1,0,6.25
53,2012,17,0,0,1,0,1,0,5.8
53,2011,2,0,0,1,0,1,0,10.0
29,2006,22,0,0,1,0,1,0,3.15
53,2006,18,0,0,1,0,1,0,4.3
53,2005,8,0,1,0,0,1,0,2.85
29,2008,3,0,0,1,0,1,0,5.5
17,2012,4,0,0,1,0,0,1,3.94
34,2012,9,0,0,1,0,1,0,11.8
53,2020,22,1,0,0,0,1,0,25.0
29,2013,22,0,0,1,0,1,0,9.0
34,2007,8,0,0,1,0,1,0,4.9
53,2010,3,0,0,1,0,1,0,7.5
53,2020,22,1,0,0,1,0,0,28.0
53,2016,13,0,0,1,0,1,0,25.5
14,2010,9,0,1,0,0,0,1,3.2
34,2015,2,0,1,0,0,1,0,13.5
25,2013,2,0,0,1,0,0,1,1.69
1,2019,2,1,0,0,0,1,0,43.0
53,2010,2,0,0,1,0,1,0,12.0
53,2010,10,1,0,0,0,0,1,2.75
29,2005,9,0,0,1,0,1,0,6.45
29,2020,9,0,0,1,0,1,0,32.0
14,2002,9,1,0,0,0,0,1,1.01
53,2020,2,1,0,0,1,0,0,19.8
29,2006,8,0,0,1,0,1,0,3.8
53,2013,2,1,0,0,0,1,0,4.7
53,2008,18,0,1,0,0,0,1,2.03
17,2013,3,1,0,0,0,1,0,7.5
34,2009,2,0,0,1,0,1,0,7.0
34,2015,2,1,0,0,0,0,1,15.5
29,2012,18,0,0,1,0,1,0,5.65
29,2011,9,0,1,0,0,1,0,6.3
25,2010,2,1,0,0,0,1,0,3.0
17,2009,2,0,0,1,0,0,1,2.25
23,2018,2,1,0,0,0,1,0,25.0
53,2006,9,1,0,0,0,1,0,3.82
0,2011,22,0,0,1,0,1,0,6.3
29,2008,17,0,0,1,0,1,0,4.7
34,2018,2,0,0,1,0,1,0,44.0
53,2013,17,1,0,0,0,0,1,2.7
53,2005,3,0,0,1,0,1,0,4.65
37,2006,2,0,1,0,0,1,0,2.9
3,2013,17,1,0,0,0,0,1,5.4
29,2007,2,0,0,1,0,1,0,3.35
53,2017,18,1,0,0,0,1,0,24.0
29,2007,18,0,0,1,0,1,0,6.6
53,2016,4,1,0,0,0,1,0,14.0
0,2017,22,0,0,1,0,1,0,14.0
29,2010,9,0,0,1,0,1,0,5.8
53,2011,2,0,0,1,0,1,0,5.4
34,2010,2,1,0,0,0,0,1,5.5
29,2007,18,0,0,1,0,1,0,6.8
53,2005,10,0,1,0,0,1,0,2.1
29,2006,22,0,0,1,0,1,0,4.95
53,2010,18,1,0,0,0,1,0,4.3
3,2019,2,1,0,0,0,1,0,120.0
29,2010,9,0,0,1,0,1,0,8.8
14,2007,2,0,0,1,0,1,0,3.04
37,2002,2,0,1,0,0,0,1,1.01
53,2010,9,1,0,0,0,0,1,5.9
34,2017,2,1,0,0,0,0,1,16.5
53,2020,2,1,0,0,1,0,0,49.5
53,2005,22,0,0,1,0,1,0,3.8
53,2009,10,1,0,0,0,1,0,3.85
53,2019,17,0,0,1,0,1,0,9.75
25,2014,18,0,1,0,0,1,0,3.7
25,2013,18,0,0,1,0,0,1,1.65
29,2008,8,0,0,1,0,1,0,8.65
53,2005,10,0,0,1,0,1,0,2.81
53,2008,22,1,0,0,0,0,1,2.5
34,2014,2,0,0,1,0,1,0,8.0
53,2011,17,1,0,0,0,1,0,3.95
53,2006,3,0,1,0,0,0,1,1.13
14,2009,2,1,0,0,0,0,1,2.3
19,2012,2,1,0,0,0,0,1,1.6
21,2013,17,1,0,0,0,0,1,4.5
29,2016,22,0,0,1,0,1,0,27.0
34,2021,2,1,0,0,1,0,0,76.5
34,2013,9,0,0,1,0,1,0,11.5
29,2010,9,0,0,1,0,1,0,9.5
17,2008,22,1,0,0,0,1,0,4.2
53,2008,9,0,1,0,0,1,0,5.7
53,2011,18,0,1,0,0,1,0,4.3
41,2013,2,1,0,0,0,1,0,20.0
53,2008,2,0,1,0,0,0,1,2.4
53,2005,17,1,0,0,0,0,1,2.3
34,2012,3,1,0,0,0,0,1,7.7
29,2005,3,0,0,1,0,1,0,5.2
34,2019,22,1,0,0,0,1,0,48.0
53,2018,22,1,0,0,0,1,0,17.5
34,2020,2,0,0,1,0,1,0,74.0
29,2008,2,0,0,1,0,1,0,4.1
53,2015,18,1,0,0,0,0,1,
29,2008,8,0,0,1,0,1,0,4.3
29,2010,9,0,0,1,0,1,0,4.8
29,2006,15,1,0,0,0,1,0,8.85
34,2012,9,0,0,1,0,1,0,2.08
53,2002,4,1,0,0,0,1,0,12.0
19,2013,9,1,0,0,0,0,1,2.8
53,2007,22,0,0,1,0,1,0,2.95
34,2010,10,0,0,1,0,1,0,3.8
53,2010,9,0,0,1,0,1,0,7.3
39,2020,9,1,0,0,0,1,0,10.7
34,2015,22,1,0,0,0,0,1,21.0
29,2010,22,0,0,1,0,1,0,14.0
53,2010,9,1,0,0,0,1,0,4.6
29,2016,2,0,0,1,0,1,0,3.5
14,2017,2,1,0,0,0,1,0,53.0
29,2013,2,0,0,1,0,1,0,10.0
53,2016,18,1,0,0,0,1,0,8.65
34,2008,2,1,0,0,0,0,1,6.5
13,2004,2,0,0,1,0,1,0,3.6
53,2018,18,0,0,1,0,1,0,1.62
34,2010,2,1,0,0,0,1,0,20.5
28,2012,22,1,0,0,0,0,1,10.0
53,2015,22,0,0,1,0,1,0,10.0
34,2016,2,1,0,0,0,0,1,14.5
53,2018,18,1,0,0,0,1,0,10.0
29,2019,22,0,0,1,0,1,0,12.5
53,2011,9,0,1,0,0,1,0,23.5
29,2016,2,0,0,1,0,1,0,4.2
29,2015,18,1,0,0,0,1,0,22.5
53,2004,3,1,0,0,0,0,1,10.5
29,2010,2,0,0,1,0,1,0,1.65
29,2007,2,0,0,1,0,1,0,8.8
29,2009,18,0,0,1,0,1,0,4.2
29,2021,22,0,0,1,0,1,0,6.5
29,2008,9,1,0,0,0,0,1,122.0
32,2014,4,1,0,0,0,1,0,3.45
53,2005,18,0,0,1,0,1,0,29.5
53,2015,9,1,0,0,0,1,0,6.25
14,2009,22,1,0,0,0,1,0,6.95
11,2014,18,0,0,1,0,1,0,8.3
53,2010,17,1,0,0,0,0,1,8.5
29,2010,22,0,0,1,0,1,0,3.25
53,2005,18,1,0,0,0,1,0,6.05
28,2015,22,1,0,0,0,1,0,2.85
34,2013,2,1,0,0,0,1,0,14.5
29,2008,18,0,0,1,0,1,0,10.5
32,2017,22,0,0,1,0,1,0,5.88
54,2012,2,1,0,0,0,0,1,38.0
53,2007,2,0,0,1,0,1,0,2.65
29,2018,22,0,0,1,0,1,0,3.45
17,2017,9,1,0,0,0,0,1,28.5
34,2016,9,1,0,0,0,1,0,5.85
3,2015,2,1,0,0,0,0,1,13.2
0,2008,9,0,0,1,0,1,0,8.5
34,2018,2,0,0,1,0,1,0,3.9
53,2010,18,0,1,0,0,1,0,42.7
28,2006,2,0,0,1,0,1,0,6.5
53,2012,22,1,0,0,0,0,1,3.37
29,2000,8,0,1,0,0,1,0,6.8
29,2014,9,0,0,1,0,1,0,1.6
53,2017,9,1,0,0,0,1,0,18.0
19,2011,3,0,0,1,0,0,1,7.9
53,2010,3,0,0,1,0,1,0,2.8
29,2008,17,0,0,1,0,1,0,3.38
34,2017,2,1,0,0,0,1,0,4.3
29,2015,2,0,0,1,0,1,0,18.5
34,2008,9,0,1,0,0,1,0,15.5
29,2014,2,1,0,0,0,0,1,4.5
29,2008,9,0,0,1,0,1,0,20.0
17,2012,10,1,0,0,0,0,1,4.35
53,2008,2,1,0,0,0,0,1,3.5
53,2010,18,0,0,1,0,1,0,5.0
29,2014,2,1,0,0,0,1,0,6.8
17,2012,2,0,0,1,0,0,1,10.5
53,2005,9,0,0,1,0,1,0,7.31
29,2011,9,0,0,1,0,1,0,3.6
28,2015,17,0,0,1,0,1,0,14.2
29,2013,8,0,0,1,0,1,0,23.65
53,2013,2,1,0,0,0,0,1,17.5
34,2008,2,1,0,0,0,0,1,26.0
29,2007,5,0,1,0,0,1,0,3.8
0,2014,18,1,0,0,0,1,0,3.2
53,2016,10,1,0,0,0,1,0,12.0
37,2000,10,0,1,0,0,0,1,8.19
53,2007,18,0,0,1,0,0,1,1.95
29,2007,18,0,0,1,0,0,1,2.08
29,2016,9,0,0,1,0,1,0,2.85
34,2015,2,1,0,0,0,0,1,23.8
34,2014,9,1,0,0,0,1,0,8.0
34,2015,2,1,0,0,0,0,1,11.0
17,2016,9,1,0,0,0,0,1,5.3
29,2010,18,1,0,0,0,1,0,6.85
34,2015,2,0,0,1,0,1,0,8.5
29,2013,9,0,0,1,0,1,0,12.5
19,2013,3,0,0,1,0,0,1,15.7
53,2007,3,0,1,0,0,0,1,2.81
53,2010,17,1,0,0,0,1,0,2.81
34,2013,4,0,0,1,0,1,0,6.0
29,2008,2,0,0,1,0,1,0,13.5
29,2020,22,1,0,0,0,1,0,3.55
53,2020,2,1,0,0,1,0,0,27.0
29,2014,18,0,0,1,0,1,0,33.0
53,2011,18,0,0,1,0,1,0,22.5
29,2011,22,0,0,1,0,1,0,4.05
53,2005,8,1,0,0,0,1,0,5.9
34,2013,8,1,0,0,0,1,0,4.0
29,2010,9,1,0,0,0,0,1,14.0
34,2009,2,0,0,1,0,1,0,8.2
14,2013,2,1,0,0,0,0,1,7.1
29,2012,2,1,0,0,0,1,0,3.94
29,2010,2,1,0,0,0,0,1,9.15
29,2006,3,0,0,1,0,1,0,3.85
34,2006,9,0,0,1,0,1,0,4.4
54,2015,9,1,0,0,0,0,1,5.8
29,2010,2,0,0,1,0,1,0,4.0
53,2000,10,0,0,1,0,0,1,8.9
19,2013,2,0,0,1,0,0,1,0.99
19,2010,18,1,0,0,0,1,0,3.26
34,2017,2,1,0,0,0,1,0,2.7
53,2018,2,1,0,0,0,1,0,25.0
29,2011,18,0,0,1,0,1,0,13.0
34,2010,22,0,0,1,0,1,0,5.35
29,2019,8,0,0,1,0,1,0,11.8
29,2005,9,1,0,0,0,0,1,30.0
53,2007,8,1,0,0,0,0,1,2.8
53,2003,8,0,1,0,0,0,1,2.7
34,2016,2,1,0,0,0,1,0,1.15
34,2014,2,1,0,0,0,1,0,35.0
29,2011,18,0,0,1,0,1,0,11.0
29,2004,2,0,0,1,0,0,1,5.34
53,2020,22,1,0,0,0,1,0,3.65
17,2005,2,0,0,1,0,0,1,59.0
53,2008,17,1,0,0,0,0,1,1.24
53,2008,18,0,1,0,0,1,0,2.45
3,2015,22,1,0,0,0,1,0,6.8
29,2013,22,1,0,0,0,1,0,19.0
51,2019,9,0,0,1,0,1,0,10.5
29,2011,9,1,0,0,0,0,1,9.9
29,2015,2,0,0,1,0,1,0,6.4
53,2003,8,1,0,0,0,0,1,22.95
53,2012,2,1,0,0,0,0,1,1.35
34,2010,9,1,0,0,0,0,1,13.0
29,2008,18,0,0,1,0,1,0,4.85
34,2013,22,1,0,0,0,1,0,4.2
34,2017,22,1,0,0,0,1,0,6.5
53,2011,18,0,0,1,0,0,1,13.3
53,2013,18,1,0,0,0,1,0,7.0
53,2012,22,1,0,0,0,1,0,5.5
17,2009,9,1,0,0,0,1,0,8.55
53,2006,8,1,0,0,0,1,0,3.3
3,2020,22,1,0,0,0,1,0,3.1
28,2013,17,1,0,0,0,0,1,30.0
53,2005,8,0,0,1,0,1,0,9.0
53,2014,2,0,0,1,0,0,1,4.7
0,2011,22,1,0,0,0,1,0,5.74
34,2012,9,0,0,1,0,1,0,6.2
29,2021,2,1,0,0,0,1,0,11.2
34,2011,9,1,0,0,0,0,1,28.0
29,2007,2,0,0,1,0,0,1,5.85
29,2006,3,0,0,1,0,1,0,3.45
53,2012,2,0,0,1,0,1,0,4.5
29,2011,2,0,0,1,0,0,1,13.0
29,2012,17,0,0,1,0,1,0,11.8
53,2010,9,0,0,1,0,1,0,15.5
34,2016,22,0,0,1,0,0,1,6.95
53,2015,2,1,0,0,0,1,0,15.5
34,2008,2,1,0,0,0,0,1,8.7
17,2005,17,1,0,0,0,0,1,5.0
0,2008,2,0,0,1,0,1,0,1.74
29,2010,2,0,0,1,0,1,0,4.4
29,2019,22,0,0,1,0,1,0,9.2
53,2013,22,1,0,0,0,0,1,68.0
29,2010,2,1,0,0,0,0,1,3.8
53,2009,17,0,0,1,0,1,0,6.8
53,2011,9,0,0,1,0,1,0,3.4
34,2008,22,1,0,0,0,1,0,7.3
29,2005,22,0,0,1,0,1,0,4.5
53,2010,17,0,1,0,0,1,0,6.2
53,2013,2,1,0,0,0,0,1,9.5
53,2012,22,1,0,0,0,1,0,2.9
37,2009,2,0,1,0,0,0,1,5.5
37,1992,17,0,1,0,0,1,0,2.03
4,2016,22,1,0,0,0,1,0,2.5
0,2008,10,0,0,1,0,1,0,68.5
34,2005,18,1,0,0,0,0,1,4.5
53,2013,22,1,0,0,0,0,1,3.8
34,2008,17,0,1,0,0,1,0,6.85
29,2013,22,0,0,1,0,1,0,4.7
19,2015,18,0,0,1,0,1,0,13.2
34,2012,22,0,1,0,0,1,0,7.9
29,2008,2,0,0,1,0,1,0,5.3
29,2009,4,0,0,1,0,1,0,5.2
34,2014,18,1,0,0,0,1,0,5.95
17,2008,17,0,1,0,0,1,0,12.85
29,2013,2,0,0,1,0,1,0,3.15
53,2010,22,1,0,0,0,1,0,30.0
15,2018,4,1,0,0,0,0,1,3.9
53,2018,2,1,0,0,0,1,0,7.05
34,2012,9,0,0,1,0,1,0,12.0
34,2013,3,1,0,0,0,0,1,15.0
29,2013,9,0,0,1,0,1,0,7.0
17,2014,22,1,0,0,0,1,0,12.5
0,2008,18,0,0,1,0,1,0,6.0
29,2007,2,0,0,1,0,1,0,3.85
53,2010,9,1,0,0,0,0,1,4.6
37,2005,2,0,0,1,0,0,1,3.35
34,2015,2,1,0,0,0,1,0,1.35
14,2001,18,0,0,1,0,0,1,13.5
53,2006,9,0,0,1,0,1,0,1.35
29,2008,3,0,0,1,0,1,0,2.75
29,2020,22,0,0,1,0,1,0,4.5
17,2004,18,1,0,0,0,0,1,27.0
37,2011,3,0,0,1,0,0,1,1.3
53,2011,2,0,0,1,0,0,1,1.13
53,2001,4,0,0,1,0,1,0,5.0
29,2010,2,0,0,1,0,1,0,2.65
37,1997,22,0,1,0,0,1,0,5.4
34,2010,2,0,0,1,0,1,0,2.7
53,2010,10,1,0,0,0,1,0,6.7
29,2007,18,0,0,1,0,1,0,8.0
53,2013,9,0,0,1,0,1,0,4.4
29,2007,9,1,0,0,0,0,1,6.8
29,2005,2,0,0,1,0,1,0,3.7
17,2011,9,1,0,0,0,0,1,6.5
8,2018,17,1,0,0,0,1,0,2.7
33,2010,3,1,0,0,0,1,0,24.2
53,2010,9,1,0,0,0,0,1,2.95
53,2007,18,0,0,1,0,1,0,2.9
53,2007,10,0,0,1,0,1,0,3.95
29,2019,2,1,0,0,0,0,1,3.3
53,2005,8,1,0,0,0,0,1,25.0
53,2015,22,1,0,0,0,1,0,2.3
47,2016,2,1,0,0,0,1,0,15.0
29,2010,22,0,0,1,0,1,0,7.0
53,2017,9,1,0,0,0,1,0,9.4
53,2007,9,0,0,1,0,1,0,15.5
29,2011,2,0,0,1,0,1,0,5.6
53,2014,3,1,0,0,0,0,1,5.4
53,2008,9,1,0,0,0,0,1,3.85
34,2012,2,1,0,0,0,1,0,2.3
53,2012,2,1,0,0,0,1,0,7.35
53,2016,18,1,0,0,0,1,0,4.35
34,2015,2,0,0,1,0,1,0,5.9
34,2015,2,0,0,1,0,1,0,16.8
53,2019,18,1,0,0,0,1,0,13.5
29,2007,18,0,0,1,0,1,0,13.5
0,2013,3,1,0,0,0,1,0,4.3
53,2009,18,1,0,0,0,1,0,7.0
29,2008,17,0,0,1,0,1,0,6.5
29,2017,2,1,0,0,0,1,0,4.6
34,2003,8,1,0,0,0,0,1,20.0
29,2009,9,0,0,1,0,1,0,1.45
29,2010,22,0,0,1,0,1,0,5.1
34,2016,9,1,0,0,0,1,0,6.0
29,2012,17,0,0,1,0,1,0,19.5
53,2013,9,1,0,0,0,1,0,9.5
53,2017,22,0,0,1,0,1,0,5.5
34,2008,18,0,1,0,0,0,1,17.5
39,2017,9,1,0,0,0,0,1,3.15
29,2011,8,0,0,1,0,1,0,9.5
51,2019,2,0,0,1,0,1,0,5.25
29,2003,18,0,0,1,0,1,0,9.9
53,2011,3,0,1,0,0,1,0,3.15
53,2008,18,0,0,1,0,1,0,6.2
34,2013,22,0,0,1,0,1,0,5.7
17,2017,2,1,0,0,0,0,1,5.61
29,2005,3,1,0,0,0,0,1,3.8
19,2005,2,0,0,1,0,1,0,2.8
53,2001,22,0,0,1,0,1,0,1.26
8,2011,2,0,0,1,0,0,1,3.7
28,2011,9,1,0,0,0,0,1,2.14
17,2009,3,1,0,0,0,1,0,6.2
53,2012,8,1,0,0,0,1,0,2.93
37,2009,8,0,0,1,0,0,1,6.5
34,2014,9,0,0,1,0,1,0,1.13
17,2005,8,0,1,0,0,0,1,18.2
29,2002,8,0,0,1,0,1,0,1.29
14,2013,9,0,0,1,0,1,0,3.27
54,2006,9,0,0,1,0,0,1,2.81
29,2011,2,1,0,0,0,1,0,1.58
29,2014,2,0,0,1,0,1,0,5.2
53,2021,2,1,0,0,1,0,0,22.0
53,2013,9,1,0,0,0,1,0,39.0
30,2008,9,1,0,0,0,1,0,4.7
53,2017,10,1,0,0,0,1,0,3.95
53,2010,9,0,1,0,0,1,0,17.5
34,2006,2,1,0,0,0,0,1,4.8
53,2006,10,0,1,0,0,0,1,1.65
29,2009,17,0,0,1,0,1,0,1.85
14,2016,2,1,0,0,0,1,0,4.7
34,2008,2,0,0,1,0,1,0,9.0
0,2008,2,0,0,1,0,1,0,5.65
53,2021,22,1,0,0,1,0,0,4.3
53,2008,3,1,0,0,0,1,0,22.5
53,2012,17,0,0,1,0,0,1,4.5
53,2007,10,0,1,0,0,1,0,2.5
34,2011,2,1,0,0,0,0,1,3.8
53,2011,9,0,0,1,0,1,0,3.6
28,2021,2,1,0,0,1,0,0,6.0
53,2015,2,1,0,0,0,0,1,230.0
29,2008,9,0,0,1,0,0,1,16.5
53,2005,8,0,0,1,0,1,0,3.8
53,2012,9,1,0,0,0,1,0,2.8
17,2012,2,1,0,0,0,0,1,7.7
29,2010,2,0,0,1,0,1,0,3.9
29,2012,18,0,0,1,0,1,0,9.2
34,2009,18,0,0,1,0,0,1,15.0
34,2011,9,1,0,0,0,0,1,3.94
53,2008,3,0,0,1,0,0,1,6.5
53,2014,10,0,0,1,0,1,0,2.25
53,2010,22,0,0,1,0,1,0,5.35
34,2015,22,0,0,1,0,1,0,5.9
14,2007,2,0,0,1,0,1,0,13.7
53,2004,2,0,0,1,0,1,0,3.26
53,2007,2,0,0,1,0,1,0,5.1
